"stn","lon_o","lat_o","ele","lon_l","lat_l","dist","dii","yii","xii"
645,126.5109,36.579,20.5,126.504,36.5851,0.0092097774131615,158407,310,199
646,126.5293,36.1741,9.5,126.535,36.1711,0.00644127316606661,143049,280,201
647,127.69239,36.12504,120.45,127.696,36.1305,0.00654550991137859,142093,278,269
648,127.44404,36.42095,83.91,127.446,36.4241,0.00371000000000266,152830,299,254
649,126.7507,37.4722,25.91,126.755,37.4679,0.00608111831820521,191189,374,213
650,127.2772,38.2726,230,127.277,38.2657,0.00690289794216329,220914,432,242
651,127.2056,38.27719,216.03,127.207,38.2804,0.00350201370642507,221422,433,238
652,127.07807,38.02648,51.9,127.079,38.0325,0.00609141198737925,212199,415,231
654,126.3079,37.25424,10.46,126.301,37.249,0.00866415604661119,182971,358,187
655,124.72912,37.76025,83,124.728,37.7671,0.00694095814711491,202337,396,97
656,126.19223,37.67091,14.75,126.198,37.6642,0.00884968926007892,198325,388,181
657,126.50168,36.32448,24,126.502,36.323,0.00151419945846105,148679,291,199
658,126.12143,36.7683,69.6,126.127,36.7658,0.00610531735456323,165041,323,177
659,127.20574,36.34299,831.67,127.205,36.3445,0.0016815766411316,149744,293,240
660,128.3776,37.562,533.47,128.38,37.5672,0.0057271284253101,195890,383,306
661,128.4027,38.5441,5,128.4,38.5505,0.00694622199472595,232241,454,305
662,126.29695,37.17066,13.27,126.301,37.1661,0.00609886054931853,179899,352,187
663,125.7869,36.92863,62.53,125.781,36.9314,0.0065178907631191,171165,335,157
664,126.45835,37.22474167,17.72,126.457,37.2208,0.00416644481409887,181956,356,196
665,126.4252,37.39044,22.85,126.424,37.3868,0.00383270139718357,188098,368,194
666,126.16835,36.95872,26.52,126.162,36.9591,0.00636135991749955,172211,337,179
667,126.00929,36.64759,58.91,126.006,36.6416,0.0068340471171921,160426,314,170
669,126.08165,36.22893,20.54,126.074,36.2277,0.00774825141564023,145070,284,174
670,128.62966,38.08724,4.31,128.629,38.0873,0.000662721661041528,215359,421,319
671,128.5936,38.1909,3,128.598,38.1852,0.00720069441095822,218941,428,317
672,126.48834,35.44236,10.76,126.496,35.4414,0.00771992227940274,115911,227,199
673,128.71748,35.28222,20.56,128.719,35.2811,0.00188806779539253,111435,218,331
674,128.8214,37.2197,821,128.819,37.2238,0.00475078940809423,183628,359,332
675,127.5277,37.78978,51.51,127.53,37.7912,0.0027030353308888,203521,398,257
676,127.4297,36.9906,161,127.424,36.9906,0.00569999999999027,173820,340,252
680,127.8446639,38.21277778,230.65,127.84,38.2155,0.00540022637843524,219410,429,274
